gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt,loc_pelny,topologia
Tpr,otoczka,True,True,False,True,nazwa,Tpr,15879,95.46,2.099,1.944,2.31,-0.248,,,,,1.363,2.506,1.912,1.94,1.909,2.2,1.775,2.06,2.56,88.75,97.33,95.92,95.84,93.07,95.79,90.62,94.54,98.14,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P12270}. Nucleus membrane {ECO:0000250|UniProtKB:P12270}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12270}; Nucleoplasmic side {ECO:0000250|UniProtKB:P12270}. Nucleus envelope {ECO:0000269|PubMed:12424524, ECO:0000269|PubMed:12513910}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P12270, ECO:0000269|PubMed:12513910}. Cytoplasm ","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P12270}. Nucleus membrane {ECO:0000250|UniProtKB:P12270}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12270}; Nucleoplasmic side {ECO:0000250|UniProtKB:P12270}. Nucleus envelope {ECO:0000269|PubMed:12424524, ECO:0000269|PubMed:12513910}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P12270, ECO:0000269|PubMed:12513910}. Cytoplasm {ECO:0000250|UniProtKB:P12270}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:P12270}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:P12270}. Nucleus membrane {ECO:0000250|UniProtKB:P12270}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12270}; Cytoplasmic side {ECO:0000250|UniProtKB:P12270}. Note=Detected as discrete intranuclear foci with IFI204 (By similarity). In interphase, localizes to the nucleoplasmic side of the nuclear pore complex (NPC) core structure, forming a fibrous structure called the nuclear basket. Detected exclusively to the cytoplasmic margin of NPC (By similarity). Docking to the inner nucleoplasmic side of the NPC is mediated through binding to nucleoporins. Anchored by NUP153 to the NPC. The assembly of the NPC is a stepwise process in which Trp-containing peripheral structures assemble after other components, including p62. Detected as filaments that emanate from the nuclear basket of the NPC and extend to the nucleolus to delineate a chromatin-free network extending from the nuclear envelope to the perinucleolar region. Detected in diffuse and discrete spheroidal intranuclear foci. Nucleocytoplasmic shuttling protein imported into the nucleus in a XPO1/CRM1- and Importin alpha/Importin beta receptor-dependent manner. Remains localized to the nuclear membrane after poliovirus (PV) infection. During mitosis, remains associated with the nuclear envelope until prometaphase. Associated with the mitotic spindle from late prometaphase until anaphase. Reorganized during mitosis in a viscous and dynamic nuclear-derived spindle matrix that embeds the microtubule spindle apparatus from pole to pole in a microtubule-independent manner. Recruited to the reforming nuclear envelope during telophase and cytokinesis. Detected at kinetochores during prometaphase. Colocalizes with MAD2L1 in the spindle matrix but not at kinetochore. Colocalizes with dynein, dynactin, tubulin at kinetochore during the metaphase-anaphase transition. Colocalizes with DYNLL1 at the mitotic spindle (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P12270}.",ONM+INM_mieszany
Tor1aip1,otoczka,True,True,True,False,nazwa,Tor1aip1,5888,35.4,0.206,0.203,0.2,0.02,,,,,0.206,0.171,0.189,0.235,0.216,0.199,0.205,0.183,0.217,30.23,41.33,36.34,40.01,35.03,35.12,31.99,28.15,37.62,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,INM_niedostepny
Tor1aip2,otoczka,True,True,False,True,nazwa,Tor1aip2,12325,74.1,0.641,0.641,0.601,0.091,,,,,0.681,0.52,0.64,0.673,0.654,0.688,0.632,0.563,0.639,71.54,78.67,76.94,79.69,71.54,78.08,67.28,62.68,75.99,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus envelope {ECO:0000250}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Nucleus envelope {ECO:0000250}.,NIEOKRESLONY
Ahctf1,otoczka,True,True,False,True,nazwa,Ahctf1,10083,60.62,0.412,0.417,0.416,0.003,,,,,0.395,0.439,0.405,0.422,0.416,0.412,0.429,0.426,0.406,55.47,74.67,62.73,64.48,58.62,60.93,54.41,54.9,62.26,"SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11952839}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:23499022}. Nucleus matrix {ECO:0000269|PubMed:23499022}. Cytoplasm {ECO:0000269|PubMed:11952839}. Note=Localizes to the nuclear pore complex (NPC) throughout interphase. Localizes to the kinetochore from prophase, and this ap","SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000269|PubMed:11952839}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:23499022}. Nucleus matrix {ECO:0000269|PubMed:23499022}. Cytoplasm {ECO:0000269|PubMed:11952839}. Note=Localizes to the nuclear pore complex (NPC) throughout interphase. Localizes to the kinetochore from prophase, and this appears to require the Nup107-160 subcomplex of the NPC. Localizes to the periphery of chromatin from late anaphase (By similarity). {ECO:0000250|UniProtKB:Q8WYP5}.",POR_niepewny
Lbr,otoczka,True,True,False,True,nazwa,Lbr,1562,9.39,0.039,0.046,0.037,0.253,,,,,0.047,0.065,0.038,0.036,0.034,0.048,0.055,0.037,0.037,9.81,18.67,9.95,9.38,8.09,11.98,9.74,7.15,9.48,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:18785926}; Multi-pass membrane protein {ECO:0000255}. Nucleus {ECO:0000250|UniProtKB:Q14739}. Cytoplasm {ECO:0000250|UniProtKB:Q14739}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q14739}. Note=Nucleus; nuclear rim. {ECO:0000250|UniProtKB:Q14739}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:18785926}; Multi-pass membrane protein {ECO:0000255}. Nucleus {ECO:0000250|UniProtKB:Q14739}. Cytoplasm {ECO:0000250|UniProtKB:Q14739}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q14739}. Note=Nucleus; nuclear rim. {ECO:0000250|UniProtKB:Q14739}.,INM_niedostepny
Brox,otoczka,True,True,True,False,nazwa,Brox,5266,31.66,0.151,0.16,0.146,0.124,,,,,0.172,0.195,0.15,0.156,0.148,0.162,0.14,0.139,0.153,27.97,44.0,33.58,34.35,29.49,35.31,26.1,23.52,33.75,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q5VW32}; Lipid-anchor {ECO:0000250|UniProtKB:Q5VW32}. Note=During nuclear envelope repair, localizes at rupture sites where it is recruited by the CHMP7/ESCRT-III axis. {ECO:0000250|UniProtKB:Q5VW32}.","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:Q5VW32}; Lipid-anchor {ECO:0000250|UniProtKB:Q5VW32}. Note=During nuclear envelope repair, localizes at rupture sites where it is recruited by the CHMP7/ESCRT-III axis. {ECO:0000250|UniProtKB:Q5VW32}.",NIEOKRESLONY
Dtl,otoczka,True,True,False,True,nazwa,Dtl,248,1.49,0.006,0.005,0.006,-0.093,,,,,0.003,0.008,0.006,0.006,0.006,0.006,0.002,0.005,0.008,0.64,2.67,1.31,1.28,1.39,1.4,0.74,1.11,2.22,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9NZJ0}. Nucleus membrane {ECO:0000250|UniProtKB:Q9NZJ0}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9NZJ0}; Nucleoplasmic side {ECO:0000250|UniProtKB:Q9NZJ0}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9NZJ0}. Chromosome {ECO:0000250|UniProtKB:Q9NZJ0}. Note=Nuclear matrix-associated prote","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9NZJ0}. Nucleus membrane {ECO:0000250|UniProtKB:Q9NZJ0}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9NZJ0}; Nucleoplasmic side {ECO:0000250|UniProtKB:Q9NZJ0}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q9NZJ0}. Chromosome {ECO:0000250|UniProtKB:Q9NZJ0}. Note=Nuclear matrix-associated protein. Translocates from the interphase nucleus to the metaphase cytoplasm during mitosis (By similarity). {ECO:0000250|UniProtKB:Q9NZJ0}.",INM_niedostepny
Slc30a1,otoczka,True,True,False,True,nazwa,Slc30a1,462,2.78,0.011,0.017,0.005,0.848,,,,,0.018,0.028,0.012,0.014,0.012,0.016,0.018,0.003,0.007,3.22,8.0,3.44,3.61,2.95,4.08,4.23,0.72,1.93,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17101726, ECO:0000269|PubMed:24602382}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:17101726, ECO:0000269|PubMed:39422023}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q9Y6M5}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMe","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17101726, ECO:0000269|PubMed:24602382}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:17101726, ECO:0000269|PubMed:39422023}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000250|UniProtKB:Q9Y6M5}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:17101726}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Y6M5}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9Y6M5}; Multi-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:Q9Y6M5}; Multi-pass membrane protein {ECO:0000255}. Postsynaptic density {ECO:0000269|PubMed:24602382}. Note=Localization to the plasma membrane is regulated by cellular zinc status. Recruitment to the plasma membrane from an internal pool is stimulated by zinc while in absence of zinc the plasma membrane pool is endocytosed and degraded (By similarity). Localizes to the basolateral surface of enterocytes (By similarity). Localizes to zinc-containing intracellular vesicles in macrophages (By similarity). Localizes in the cytoplasm and to the ER, Golgi and nucleus membranes in keratinocytes (By similarity). {ECO:0000250|UniProtKB:Q62720, ECO:0000250|UniProtKB:Q9Y6M5}.",NIEOKRESLONY
Kcnh1,otoczka,True,True,False,True,nazwa,Kcnh1,1303,7.83,0.035,0.033,0.038,-0.159,,,,,0.04,0.024,0.034,0.035,0.028,0.033,0.036,0.034,0.041,6.75,6.67,7.83,7.44,7.28,8.35,5.51,5.79,9.62,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19671703, ECO:0000269|PubMed:23975098}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O95259}. Nucleus inner membrane {ECO:0000250|UniProtKB:O95259}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O95259}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q63472}. Cell projection, axon {ECO:0000250|UniProtKB:Q63472}. Presynaptic cell ","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19671703, ECO:0000269|PubMed:23975098}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O95259}. Nucleus inner membrane {ECO:0000250|UniProtKB:O95259}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O95259}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q63472}. Cell projection, axon {ECO:0000250|UniProtKB:Q63472}. Presynaptic cell membrane {ECO:0000269|PubMed:25556795}. Perikaryon {ECO:0000250|UniProtKB:Q63472}. Postsynaptic density membrane {ECO:0000250|UniProtKB:Q63472}. Early endosome membrane {ECO:0000250|UniProtKB:O95259}. Note=Perinuclear KCNH1 is located to NPC-free islands. {ECO:0000250|UniProtKB:O95259}.",INM_niedostepny
Il15ra,otoczka,True,True,False,True,nazwa,Il15ra,290,1.74,0.007,0.006,0.007,-0.087,,,,,0.007,0.0,0.006,0.008,0.008,0.005,0.009,0.007,0.007,1.29,0.0,1.59,2.28,1.79,1.47,1.84,1.3,2.03,"SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q13261}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q13261}. Nucleus membrane {ECO:0000250|UniProtKB:Q13261}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q13261}. Cell surface {ECO:0000250|UniProtKB:Q13261}.; SUBCELLULAR LOCATION: [Soluble interleukin-15 receptor subunit alpha]: Secreted, extracellular space {ECO:","SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:Q13261}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q13261}. Nucleus membrane {ECO:0000250|UniProtKB:Q13261}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q13261}. Cell surface {ECO:0000250|UniProtKB:Q13261}.; SUBCELLULAR LOCATION: [Soluble interleukin-15 receptor subunit alpha]: Secreted, extracellular space {ECO:0000250}.",NIEOKRESLONY
Dnajc1,otoczka,True,True,False,True,nazwa,Dnajc1,15300,91.98,1.43,1.435,1.504,-0.067,,,,,1.536,1.403,1.316,1.42,1.434,1.359,1.577,1.541,1.468,90.19,92.0,92.37,92.62,90.08,90.89,90.62,90.68,93.91,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Microsome membrane; Single-pass type I membrane protein.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type I membrane protein. Nucleus membrane; Single-pass type I membrane protein. Microsome membrane; Single-pass type I membrane protein.,NIEOKRESLONY
Nsmf,otoczka,True,True,False,True,nazwa,Nsmf,5595,33.64,0.173,0.166,0.197,-0.234,,,,,0.157,0.189,0.158,0.163,0.168,0.154,0.175,0.214,0.181,28.94,42.67,32.82,35.13,30.7,31.68,29.6,33.56,37.14,"SUBCELLULAR LOCATION: Nucleus. Nucleus envelope {ECO:0000250}. Nucleus membrane {ECO:0000250}. Nucleus matrix {ECO:0000250}. Cytoplasm. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell membrane; Peripheral membrane protein. Cell projection, dendrite {ECO:0000250}. Synapse {ECO:0000250}. Synapse, synaptosome {ECO:0000250}. Postsynaptic density {ECO:0000250}. Membran","SUBCELLULAR LOCATION: Nucleus. Nucleus envelope {ECO:0000250}. Nucleus membrane {ECO:0000250}. Nucleus matrix {ECO:0000250}. Cytoplasm. Cytoplasm, cell cortex {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell membrane; Peripheral membrane protein. Cell projection, dendrite {ECO:0000250}. Synapse {ECO:0000250}. Synapse, synaptosome {ECO:0000250}. Postsynaptic density {ECO:0000250}. Membrane {ECO:0000250}. Note=Found on the outside of the luteinizing-hormone-releasing hormone (LHRH) cell membrane and axons projecting from the olfactory pit and epithelium. Associates with transcriptionally active chromatin regions. Detected at the nuclear membranes of CA1 neurons. Cortical cytoskeleton. Localized in proximal apical dendrites. Colocalizes with CABP1 in dendrites and dendritic spines. Myristoylation is a prerequisite for extranuclear localization. Translocates from dendrites to the nucleus during NMDA receptor-dependent long-term potentiation (LTP) induction of synaptic transmission at Schaffer collateral/CA1 synapses of hippocampal primary neurons and in an importin-dependent manner (By similarity). {ECO:0000250}.",NIEOKRESLONY
Ptgds,otoczka,True,True,False,True,nazwa,Ptgds,7617,45.79,0.318,0.364,0.197,0.853,Aldoc_3,0.664,8.272256108019895e-71,18.05,0.368,0.55,0.436,0.362,0.277,0.397,0.155,0.074,0.32,48.39,73.33,60.5,50.33,39.9,56.53,24.45,12.02,49.03,"SUBCELLULAR LOCATION: Rough endoplasmic reticulum {ECO:0000250|UniProtKB:P41222}. Nucleus membrane {ECO:0000250|UniProtKB:P41222}. Golgi apparatus {ECO:0000250|UniProtKB:P41222}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P41222}. Secreted {ECO:0000250|UniProtKB:P41222}. Note=Detected on rough endoplasmic reticulum of arachnoid and menigioma cells. Localized to the nuclear envelope, Golg","SUBCELLULAR LOCATION: Rough endoplasmic reticulum {ECO:0000250|UniProtKB:P41222}. Nucleus membrane {ECO:0000250|UniProtKB:P41222}. Golgi apparatus {ECO:0000250|UniProtKB:P41222}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:P41222}. Secreted {ECO:0000250|UniProtKB:P41222}. Note=Detected on rough endoplasmic reticulum of arachnoid and menigioma cells. Localized to the nuclear envelope, Golgi apparatus, secretory vesicles and spherical cytoplasmic structures in arachnoid trabecular cells, and to circular cytoplasmic structures in meningeal macrophages and perivascular microglial cells. In oligodendrocytes, localized to the rough endoplasmic reticulum and nuclear envelope. In retinal pigment epithelial cells, localized to distinct cytoplasmic domains including the perinuclear region. Also secreted. {ECO:0000250|UniProtKB:P41222}.",NIEOKRESLONY
Gle1,otoczka,True,True,False,True,nazwa,Gle1,6354,38.2,0.214,0.226,0.234,-0.048,,,,,0.23,0.252,0.194,0.193,0.212,0.196,0.308,0.258,0.21,35.69,50.67,37.27,37.79,37.22,37.92,41.73,37.76,39.72,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q53GS7}. Cytoplasm {ECO:0000250|UniProtKB:Q53GS7}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q53GS7}. Note=Shuttles between the nucleus and the cytoplasm. Shuttling is essential for its mRNA export function. {ECO:0000250|UniProtKB:Q53GS7}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q53GS7}. Cytoplasm {ECO:0000250|UniProtKB:Q53GS7}. Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q53GS7}. Note=Shuttles between the nucleus and the cytoplasm. Shuttling is essential for its mRNA export function. {ECO:0000250|UniProtKB:Q53GS7}.",POR_niepewny
Nup188,otoczka,True,True,True,False,nazwa,Nup188,4347,26.13,0.124,0.131,0.122,0.095,,,,,0.14,0.142,0.12,0.14,0.132,0.115,0.13,0.132,0.112,25.24,40.0,27.45,29.3,26.27,24.86,22.24,22.79,26.09,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q5SRE5}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q5SRE5}.",POR_niepewny
Tor1b,otoczka,True,True,False,True,nazwa,Tor1b,1487,8.94,0.038,0.041,0.034,0.213,,,,,0.046,0.036,0.037,0.042,0.042,0.043,0.04,0.032,0.036,9.81,10.67,9.28,10.77,9.47,9.88,9.01,6.18,8.41,SUBCELLULAR LOCATION: Endoplasmic reticulum lumen. Nucleus membrane.,SUBCELLULAR LOCATION: Endoplasmic reticulum lumen. Nucleus membrane.,NIEOKRESLONY
Tor1a,otoczka,True,True,False,True,nazwa,Tor1a,2341,14.07,0.061,0.065,0.056,0.184,,,,,0.078,0.065,0.059,0.059,0.069,0.064,0.061,0.051,0.06,13.67,21.33,15.01,14.15,15.55,14.79,11.76,9.56,14.65,"SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250|UniProtKB:O14656}. Nucleus membrane; Peripheral membrane protein. Cell projection, growth cone. Cytoplasmic vesicle membrane {ECO:0000250}. Synapse, synaptosome {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:000025","SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000250|UniProtKB:O14656}. Nucleus membrane; Peripheral membrane protein. Cell projection, growth cone. Cytoplasmic vesicle membrane {ECO:0000250}. Synapse, synaptosome {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000250}. Note=Upon oxidative stress, redistributes to protusions from the cell surface (By similarity). Peripherally associated with the inner face of the ER membrane, probably mediated by the interaction with TOR1AIP1. The association with nucleus membrane is mediated by the interaction with TOR1AIP2. {ECO:0000250}.",NIEOKRESLONY
Nup214,otoczka,True,True,True,False,nazwa,Nup214,10715,64.42,0.459,0.427,0.499,-0.22,,,,,0.46,0.304,0.446,0.438,0.428,0.439,0.472,0.528,0.47,56.75,66.67,66.28,64.48,60.86,65.77,58.46,60.89,67.84,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P35658}. Note=Cytoplasmic side of the nuclear pore complex. {ECO:0000250|UniProtKB:P35658}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:P35658}. Note=Cytoplasmic side of the nuclear pore complex. {ECO:0000250|UniProtKB:P35658}.",ONM_dostepny
Plpp7,otoczka,True,True,False,True,nazwa,Plpp7,4464,26.84,0.128,0.129,0.13,-0.01,,,,,0.115,0.161,0.122,0.124,0.14,0.114,0.126,0.128,0.133,22.35,41.33,28.46,28.63,27.3,25.94,21.32,21.1,28.75,SUBCELLULAR LOCATION: Nucleus envelope. Endoplasmic reticulum membrane. Membrane; Multi-pass membrane protein. Note=Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm.,SUBCELLULAR LOCATION: Nucleus envelope. Endoplasmic reticulum membrane. Membrane; Multi-pass membrane protein. Note=Both the N- and C-terminal are exposed to the cytoplasm/nucleoplasm.,NIEOKRESLONY
Arl6ip6,otoczka,True,True,True,False,nazwa,Arl6ip6,5081,30.55,0.153,0.157,0.136,0.194,,,,,0.147,0.155,0.163,0.167,0.156,0.166,0.144,0.122,0.149,25.08,40.0,33.74,34.02,28.69,33.72,23.9,21.68,32.04,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Multi-pass membrane protein {ECO:0000255}.,INM_niedostepny
Osbpl6,otoczka,True,True,False,True,nazwa,Osbpl6,16537,99.42,5.323,5.183,5.624,-0.118,,,,,4.131,6.162,5.069,5.394,5.266,5.164,5.095,5.576,5.671,98.55,98.67,99.5,99.45,99.06,99.04,98.9,99.76,99.71,"SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000269|PubMed:14593528}. Cytoplasm, cytosol {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970, ECO:0000269|PubMed:35518199}; Peripheral membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:35518199}; Peripheral mem","SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000269|PubMed:14593528}. Cytoplasm, cytosol {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:30028970, ECO:0000269|PubMed:35518199}; Peripheral membrane protein {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:14593528, ECO:0000269|PubMed:35518199}; Peripheral membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:30028970}; Peripheral membrane protein {ECO:0000305}. Note=Co-localizes with OSBPL3 at contact sites between the plasma membrane and the endoplasmic reticulum. {ECO:0000269|PubMed:30028970, ECO:0000269|PubMed:35518199}.",NIEOKRESLONY
Nup35,otoczka,True,True,True,False,nazwa,Nup35,7332,44.08,0.255,0.247,0.245,0.011,,,,,0.257,0.235,0.266,0.265,0.27,0.241,0.198,0.235,0.254,36.82,48.0,48.64,46.84,43.03,45.0,32.54,34.52,46.47,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q8NFH5}. Nucleus membrane {ECO:0000250|UniProtKB:Q8NFH5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8NFH5}. Note=Tightly associated with the nuclear membrane and lamina. {ECO:0000250|UniProtKB:Q8NFH5}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000250|UniProtKB:Q8NFH5}. Nucleus membrane {ECO:0000250|UniProtKB:Q8NFH5}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8NFH5}. Note=Tightly associated with the nuclear membrane and lamina. {ECO:0000250|UniProtKB:Q8NFH5}.",POR_niepewny
Nup160,otoczka,True,True,True,False,nazwa,Nup160,8463,50.88,0.315,0.322,0.302,0.09,,,,,0.377,0.274,0.328,0.329,0.314,0.296,0.334,0.305,0.299,52.57,49.33,55.07,55.11,48.84,51.24,45.22,42.59,51.04,"SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:11564755, ECO:0000269|PubMed:11684705}.","SUBCELLULAR LOCATION: Nucleus, nuclear pore complex {ECO:0000269|PubMed:11564755, ECO:0000269|PubMed:11684705}.",POR_niepewny
Gchfr,otoczka,True,True,False,True,nazwa,Gchfr,921,5.54,0.024,0.028,0.02,0.341,,,,,0.032,0.035,0.031,0.026,0.027,0.018,0.026,0.022,0.018,5.47,12.0,8.19,6.77,6.03,3.12,4.04,3.77,4.33,"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Nucleus membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}.",NIEOKRESLONY
Tmx4,otoczka,True,True,False,True,nazwa,Tmx4,12798,76.94,0.712,0.72,0.692,0.056,,,,,0.629,0.739,0.689,0.723,0.707,0.796,0.754,0.648,0.735,67.04,82.67,79.09,79.69,73.64,82.09,73.16,67.26,80.44,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9H1E5}; Single-pass type I membrane protein {ECO:0000255}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000269|PubMed:31142202}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9H1E5}; Single-pass type I membrane protein {ECO:0000255}.,INM_niedostepny
